County,Year,Income,Population
Cheyenne County,2010,44464,1836
Gunnison County,2010,47698,15324
Phillips County,2010,44064,4442
Pueblo County,2010,39107,159063
Jackson County,2010,43691,1394
Baca County,2010,33086,3788
Hinsdale County,2010,48195,843
El Paso County,2010,51553,622263
Denver County,2010,45415,600158
Summit County,2010,60087,27994
Broomfield County,2010,76006,55889
Eagle County,2010,69182,52197
La Plata County,2010,53029,51334
Washington County,2010,40914,4814
Saguache County,2010,30985,6108
Custer County,2010,42951,4255
Clear Creek County,2010,64822,9088
Pitkin County,2010,65568,17148
Elbert County,2010,78550,23086
Lincoln County,2010,39230,5467
Rio Grande County,2010,37300,11982
Prowers County,2010,34488,12551
Grand County,2010,55818,14843
Garfield County,2010,60456,56389
Gilpin County,2010,63024,5441
Delta County,2010,40288,30952
Moffat County,2010,55913,13795
Morgan County,2010,43209,28159
Lake County,2010,43565,7310
Las Animas County,2010,37700,15507
Montrose County,2010,44002,41276
Kit Carson County,2010,39498,8270
Alamosa County,2010,36339,15445
Bent County,2010,33702,6499
Teller County,2010,59966,23350
Rio Blanco County,2010,59308,6666
Otero County,2010,34360,18831
Yuma County,2010,43361,10043
San Miguel County,2010,62368,7359
Logan County,2010,40637,22709
Archuleta County,2010,46165,12084
Fremont County,2010,40543,46824
Boulder County,2010,62215,294567
Routt County,2010,60506,23509
Ouray County,2010,54920,4436
Mesa County,2010,47324,146723
Huerfano County,2010,31696,6711
Crowley County,2010,34569,5823
Mineral County,2010,45645,712
Adams County,2010,52785,441603
Dolores County,2010,40511,2064
Weld County,2010,52334,252825
Larimer County,2010,54739,299630
Arapahoe County,2010,58152,572003
San Juan County,2010,37001,699
Jefferson County,2010,64181,534543
Chaffee County,2010,42420,17809
Conejos County,2010,32254,8256
Sedgwick County,2010,36749,2379
Crowley County,2011,30279,
Rio Blanco County,2011,60022,
Douglas County,2011,95973,
Denver County,2011,47584,
Larimer County,2011,55501,
Archuleta County,2011,48043,
Summit County,2011,60397,
Teller County,2011,60313,
Routt County,2011,64998,
Otero County,2011,30420,
Eagle County,2011,67190,
Montrose County,2011,43035,
Pitkin County,2011,69229,
El Paso County,2011,54857,
Dolores County,2011,39650,
Yuma County,2011,46246,
Bent County,2011,35522,
Grand County,2011,56980,
Kiowa County,2011,41427,
Park County,2011,58565,
Lake County,2011,42768,
San Miguel County,2011,57578,
La Plata County,2011,52276,
Saguache County,2011,30746,
Kit Carson County,2011,43078,
Adams County,2011,52429,
Jackson County,2011,43206,
Cheyenne County,2011,46965,
Lincoln County,2011,42734,
